CUSTOMER_CODE|TRANSACTION_TYPE_CODE|SMS_TEXT|LINE_TEXT|INVITATION_DATE|INVITATION_TIME|TRANSACTION_DATE
Cus22_NTDRL||https://ktbshorturl-uat.feedback180.com/mm7qzlB|https://ktbshorturl-uat.feedback180.com/mm7qzlH|2025-02-19|14:04:12|2025-02-18
Cus23_NTDRL||https://ktbshorturl-uat.feedback180.com/Lj7qzlo|https://ktbshorturl-uat.feedback180.com/jW7qzlZ|2025-02-19|14:04:12|2025-02-18
Cus24_NTDRL||https://ktbshorturl-uat.feedback180.com/jW7qzlE|https://ktbshorturl-uat.feedback180.com/3W7qzlq|2025-02-19|14:04:12|2025-02-18
Cus25_NTDRL||https://ktbshorturl-uat.feedback180.com/3W7qzlS|https://ktbshorturl-uat.feedback180.com/337qzls|2025-02-19|14:04:12|2025-02-18
Cus26_NTDRL||https://ktbshorturl-uat.feedback180.com/3j7qzli|https://ktbshorturl-uat.feedback180.com/Wm7qzlk|2025-02-19|14:04:12|2025-02-18
Cus27_NTDRL||https://ktbshorturl-uat.feedback180.com/yL7qz5x|https://ktbshorturl-uat.feedback180.com/3W7qz5O|2025-02-19|14:04:12|2025-02-18
Cus28_NTDRL||https://ktbshorturl-uat.feedback180.com/jy7qz51|https://ktbshorturl-uat.feedback180.com/3W7qz5F|2025-02-19|14:04:12|2025-02-18
Cus29_NTDRL||https://ktbshorturl-uat.feedback180.com/Lj7qz5h|https://ktbshorturl-uat.feedback180.com/jm7qz57|2025-02-19|14:04:12|2025-02-18
Cus30_NTDRL||https://ktbshorturl-uat.feedback180.com/LL7qz5v|https://ktbshorturl-uat.feedback180.com/Wy7qz5b|2025-02-19|14:04:12|2025-02-18
STAFF11||https://ktbshorturl-uat.feedback180.com/staff11|https://ktbshorturl-uat.feedback180.com/staff11|2025-02-19|14:04:16|2025-02-19
STAFF12||https://ktbshorturl-uat.feedback180.com/staff12|https://ktbshorturl-uat.feedback180.com/staff12|2025-02-19|14:04:16|2025-02-19
STAFF13||https://ktbshorturl-uat.feedback180.com/staff13|https://ktbshorturl-uat.feedback180.com/staff13|2025-02-19|14:04:16|2025-02-19
STAFF14||https://ktbshorturl-uat.feedback180.com/staff14|https://ktbshorturl-uat.feedback180.com/staff14|2025-02-19|14:04:16|2025-02-19
STAFF15||https://ktbshorturl-uat.feedback180.com/staff15|https://ktbshorturl-uat.feedback180.com/staff15|2025-02-19|14:04:16|2025-02-19
